arg_id,micro_cluster_id,cluster_size,is_centroid,centroid_arg_id
A1_0,1296,2,true,A1_0
A1_1,878,1,true,A1_1
A1_2,25,1,true,A1_2
A1_3,1067,1,true,A1_3
A1_4,1296,2,false,A1_0
A2_0,781,1,true,A2_0
A2_1,945,1,true,A2_1
A3_0,807,1,true,A3_0
A3_1,892,1,true,A3_1
A3_2,1147,2,true,A3_2
A3_3,994,1,true,A3_3
A3_4,581,1,true,A3_4
A4_0,88,2,true,A4_0
A4_1,17,1,true,A4_1
A4_2,114,1,true,A4_2
A4_3,9,1,true,A4_3
A4_4,97,1,true,A4_4
A4_5,602,1,true,A4_5
A5_0,394,3,false,A369_1
A5_1,60,1,true,A5_1
A5_2,388,4,false,A21_0
A5_3,1361,1,true,A5_3
A5_4,401,1,true,A5_4
A5_5,1074,1,true,A5_5
A6_0,100,1,true,A6_0
A6_1,205,1,true,A6_1
A6_2,307,1,true,A6_2
A6_3,540,1,true,A6_3
A7_0,493,2,true,A7_0
A7_1,44,1,true,A7_1
A7_2,1331,1,true,A7_2
A7_3,1227,1,true,A7_3
A8_0,477,1,true,A8_0
A8_1,86,1,true,A8_1
A8_2,443,1,true,A8_2
A8_3,451,1,true,A8_3
A9_0,419,1,true,A9_0
A9_1,707,1,true,A9_1
A9_2,459,1,true,A9_2
A10_0,276,2,true,A10_0
A10_1,371,1,true,A10_1
A10_2,1211,1,true,A10_2
A10_3,1229,1,true,A10_3
A10_4,1135,1,true,A10_4
A11_0,223,4,false,A71_0
A11_1,28,1,true,A11_1
A11_2,1081,1,true,A11_2
A11_3,258,2,true,A11_3
A11_4,636,1,true,A11_4
A12_0,259,1,true,A12_0
A13_0,520,1,true,A13_0
A13_1,522,1,true,A13_1
A13_2,1253,2,true,A13_2
A13_3,482,1,true,A13_3
A13_4,610,1,true,A13_4
A14_0,128,2,true,A14_0
A14_1,140,1,true,A14_1
A14_2,313,1,true,A14_2
A14_3,154,1,true,A14_3
A14_4,1,1,true,A14_4
A14_5,530,1,true,A14_5
A15_0,1250,1,true,A15_0
A15_1,326,1,true,A15_1
A15_2,1070,4,false,A195_5
A16_0,626,1,true,A16_0
A16_1,627,1,true,A16_1
A16_2,1263,2,true,A16_2
A17_0,760,1,true,A17_0
A17_1,1212,1,true,A17_1
A17_2,854,1,true,A17_2
A17_3,621,1,true,A17_3
A17_4,645,1,true,A17_4
A18_0,1293,2,true,A18_0
A18_1,113,2,true,A18_1
A18_2,398,1,true,A18_2
A19_0,399,1,true,A19_0
A19_1,515,1,true,A19_1
A19_2,110,1,true,A19_2
A20_0,1293,2,false,A18_0
A20_1,1333,2,true,A20_1
A20_2,705,1,true,A20_2
A21_0,388,4,true,A21_0
A22_0,226,9,false,A442_1
A22_1,212,1,true,A22_1
A22_2,237,1,true,A22_2
A23_0,830,1,true,A23_0
A23_1,927,1,true,A23_1
A23_2,1077,1,true,A23_2
A23_3,831,1,true,A23_3
A23_4,799,2,true,A23_4
A23_5,991,2,true,A23_5
A24_0,797,3,false,A129_2
A24_1,498,1,true,A24_1
A24_2,1277,1,true,A24_2
A25_0,919,1,true,A25_0
A25_1,1337,1,true,A25_1
A25_2,920,1,true,A25_2
A25_3,1042,1,true,A25_3
A25_4,1029,1,true,A25_4
A25_5,1049,1,true,A25_5
A26_0,1098,5,false,A38_0
A27_0,676,1,true,A27_0
A27_1,1181,1,true,A27_1
A27_2,1183,1,true,A27_2
A28_0,1098,5,false,A38_0
A28_1,1148,1,true,A28_1
A29_0,224,3,false,A409_0
A29_1,306,2,true,A29_1
A29_2,108,1,true,A29_2
A29_3,51,1,true,A29_3
A29_4,261,1,true,A29_4
A29_5,917,2,true,A29_5
A29_6,717,1,true,A29_6
