arg_id,comment_id,argument,cluster_l1,cluster_l2,is_centroid,micro_cluster_id,micro_cluster_size,centroid_arg_id,source,url,original_count,duplicate_group_id
A1_0,1,脱炭素の観点に立ち再エネ100%を目指すべきである。,1_2,2_43,true,1296,2,A1_0,dhtool2025/full-complete-compressed,,1,group-1
A1_1,1,原油、石炭、ウラン等は100年〜200年で枯渇すると推定されているため、早期の脱化石燃料が将来を見越したエネルギー計画である。,1_2,2_42,true,878,1,A1_1,dhtool2025/full-complete-compressed,,1,group-1
A1_2,1,巨大地震が必ず起こるため、原発の利活用はするべきではない。,1_6,2_50,true,25,1,A1_2,dhtool2025/full-complete-compressed,,1,group-1
A1_3,1,第7次エネルギー基本計画（案）は旧来の産業を温存するための計画であり、再エネ50%は化石燃料を基礎とする発電方法を守るための後ろ向きな計画である。,1_7,2_11,true,1067,1,A1_3,dhtool2025/full-complete-compressed,,1,group-1
A1_4,1,再エネ100%炭素ゼロを目指すべきだ。,1_1,2_51,false,1296,2,A1_0,dhtool2025/full-complete-compressed,,1,group-1
A2_0,2,既存の技術に囚われない新しい革新技術に目を向けるべき,1_4,2_0,true,781,1,A2_0,dhtool2025/full-complete-compressed,,1,group-2
A2_1,2,脱炭素自然エネルギーというお題目を捨てるべき,1_2,2_43,true,945,1,A2_1,dhtool2025/full-complete-compressed,,1,group-2
A3_0,3,イギリスのように高い削減目標を掲げ、政府が達成のための政策を打ち立てるべき,1_1,2_12,true,807,1,A3_0,dhtool2025/full-complete-compressed,,1,group-3
A3_1,3,自国で賄えない限り、化石燃料の利用はゼロにすべき,1_2,2_17,true,892,1,A3_1,dhtool2025/full-complete-compressed,,1,group-3
A3_2,3,全て再生可能エネルギーにし、火力発電をゼロにするべき,1_4,2_32,true,1147,2,A3_2,dhtool2025/full-complete-compressed,,1,group-3
A3_3,3,電気自動車以外は廃止し、化石燃料を使う暖房器具も廃止すべき,1_2,2_3,true,994,1,A3_3,dhtool2025/full-complete-compressed,,1,group-3
A3_4,3,国民の声を聞いてほしい,1_7,2_45,true,581,1,A3_4,dhtool2025/full-complete-compressed,,1,group-3
A4_0,4,原子力発電は安全を確保して推進すべきではない。,1_5,2_52,true,88,2,A4_0,dhtool2025/full-complete-compressed,,1,group-4
A4_1,4,日本は地震の被害を避けられないため、原子力発電を削除すべきである。,1_6,2_50,true,17,1,A4_1,dhtool2025/full-complete-compressed,,1,group-4
A4_2,4,福島事故を防げなかった過去を繰り返すべきではない。,1_6,2_1,true,114,1,A4_2,dhtool2025/full-complete-compressed,,1,group-4
A4_3,4,南海トラフ地震を無視しているのか。,1_6,2_50,true,9,1,A4_3,dhtool2025/full-complete-compressed,,1,group-4
A4_4,4,安全であることは誰も証明できない。,1_5,2_52,true,97,1,A4_4,dhtool2025/full-complete-compressed,,1,group-4
A4_5,4,経産省は無責任な案を提出すべきではない。,1_7,2_48,true,602,1,A4_5,dhtool2025/full-complete-compressed,,1,group-4
A5_0,5,原発エネルギーを止めるべきである。,1_8,2_15,false,394,3,A369_1,dhtool2025/full-complete-compressed,,1,group-5
A5_1,5,原発は攻撃の標的になり得るため、国内に核兵器を持っているようなものだ。,1_8,2_23,true,60,1,A5_1,dhtool2025/full-complete-compressed,,1,group-5
A5_2,5,原発は廃炉にしてやめていくべきである。,1_8,2_15,false,388,4,A21_0,dhtool2025/full-complete-compressed,,1,group-5
A5_3,5,2024年の原発エネルギーが2割になるのはおかしい。,1_1,2_51,true,1361,1,A5_3,dhtool2025/full-complete-compressed,,1,group-5
A5_4,5,老朽化した原発が多いため、新規に作らなければ目的を達成できない。,1_8,2_41,true,401,1,A5_4,dhtool2025/full-complete-compressed,,1,group-5
A5_5,5,再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作るべきである。,1_4,2_14,true,1074,1,A5_5,dhtool2025/full-complete-compressed,,1,group-5
A6_0,6,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。,1_6,2_57,true,100,1,A6_0,dhtool2025/full-complete-compressed,,1,group-6
A6_1,6,事故処理は終わっていない。,1_6,2_19,true,205,1,A6_1,dhtool2025/full-complete-compressed,,1,group-6
A6_2,6,原発のリスクとコストは相対的にも絶対的にも大きい。,1_5,2_10,true,307,1,A6_2,dhtool2025/full-complete-compressed,,1,group-6
A6_3,6,原子力依存への回帰は再考すべき。,1_5,2_62,true,540,1,A6_3,dhtool2025/full-complete-compressed,,1,group-6
A7_0,7,原子力発電の最大限活用に賛成であり、エネルギー自給率の向上と脱炭素化のためには原子力の活用が必須である。,1_5,2_62,true,493,2,A7_0,dhtool2025/full-complete-compressed,,1,group-7
A7_1,7,日本は原子力産業の再稼働にリソースを割いているため、サプライチェーンの再整備が重要である。,1_5,2_62,true,44,1,A7_1,dhtool2025/full-complete-compressed,,1,group-7
A7_2,7,国は原子力発電の新設を支援し、過去の失敗を繰り返さないようにすべきである。,1_5,2_62,true,1331,1,A7_2,dhtool2025/full-complete-compressed,,1,group-7
A7_3,7,原子力エネルギーは電気だけでなくクリーンな熱源にもなりうるため、熱利用の研究開発及び商業化の支援が必要である。,1_4,2_60,true,1227,1,A7_3,dhtool2025/full-complete-compressed,,1,group-7
A8_0,8,脱炭素と電気料金の低廉化を図るために原発利用の縮小を評価する,1_4,2_13,true,477,1,A8_0,dhtool2025/full-complete-compressed,,1,group-8
A8_1,8,エネルギー安全保障上、原発利用の推進を期待する,1_4,2_39,true,86,1,A8_1,dhtool2025/full-complete-compressed,,1,group-8
A8_2,8,再エネと原発は排他的ではなく、共に推進・利用すべき,1_4,2_0,true,443,1,A8_2,dhtool2025/full-complete-compressed,,1,group-8
A8_3,8,岸田政権が原発利用を表明する際、自治体同意を必須とせず、強権的な政治判断を期待する,1_8,2_35,true,451,1,A8_3,dhtool2025/full-complete-compressed,,1,group-8
A9_0,9,国の審査に合格した原発は都道府県への届出のみで運転できるようにすべき,1_8,2_41,true,419,1,A9_0,dhtool2025/full-complete-compressed,,1,group-9
A9_1,9,地元同意が必要な場合は法手続きの方法や期限を規定すべき,1_7,2_45,true,707,1,A9_1,dhtool2025/full-complete-compressed,,1,group-9
A9_2,9,法的根拠のない原発の運転制限は財産権の侵害の恐れがあることを周知すべき,1_8,2_7,true,459,1,A9_2,dhtool2025/full-complete-compressed,,1,group-9
A10_0,10,原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない,1_5,2_24,true,276,2,A10_0,dhtool2025/full-complete-compressed,,1,group-10
A10_1,10,原子力発電で生じる使用済み燃料と高レベル廃棄物の最終処分場が決まらないまま運転を続けるのは矛盾している,1_6,2_49,true,371,1,A10_1,dhtool2025/full-complete-compressed,,1,group-10
A10_2,10,安価で安定した電力確保のために、特に積雪が多い地域には高効率火力を一定数維持すべき,1_4,2_13,true,1211,1,A10_2,dhtool2025/full-complete-compressed,,1,group-10
A10_3,10,地熱発電の利用拡大が必要である,1_4,2_60,true,1229,1,A10_3,dhtool2025/full-complete-compressed,,1,group-10
A10_4,10,太陽光発電の有効利用促進には、蓄電所のような電力調整できる仕組みの整備が急がれる,1_4,2_22,true,1135,1,A10_4,dhtool2025/full-complete-compressed,,1,group-10
A11_0,11,原子力発電を推進することに反対する,1_5,2_30,false,223,4,A71_0,dhtool2025/full-complete-compressed,,1,group-11
A11_1,11,日本は災害の多い国であり、原発は戦争時に攻撃対象になる可能性がある,1_6,2_50,true,28,1,A11_1,dhtool2025/full-complete-compressed,,1,group-11
A11_2,11,世界では再生可能エネルギーへの転換が進んでおり、日本だけが取り残されてはいけない,1_4,2_14,true,1081,1,A11_2,dhtool2025/full-complete-compressed,,1,group-11
A11_3,11,原発に関わる費用を国民に押し付けることに反対する,1_8,2_35,true,258,2,A11_3,dhtool2025/full-complete-compressed,,1,group-11
A11_4,11,次の選挙ではこれらの点を重要視する,1_8,2_2,true,636,1,A11_4,dhtool2025/full-complete-compressed,,1,group-11
A12_0,12,原発事故が起きた際の被害の回復には金をかけても到底無理であるため、原発反対の国民の電気代に原発新設の代金を上乗せすることは認められない。,1_8,2_55,true,259,1,A12_0,dhtool2025/full-complete-compressed,,1,group-12
A13_0,13,原子力発電は発電そのものは脱炭素電源だが、ライフサイクル全体を考慮すると必ずしも脱炭素電源とは言えない。,1_5,2_5,true,520,1,A13_0,dhtool2025/full-complete-compressed,,1,group-13
