item_id	item_label	qid_a	label_a	surface_a	qid_b	label_b	surface_b	relation_type	property_id	property_label	direction	via_qid	via_label
2_0	再生可能エネルギー推進と原発の役割再考	Q12705	再生可能エネルギー	再生可能エネルギー	Q17232373	原子力発電	原発	none					
2_1	福島原発事故の教訓と原発政策への反省	Q171178	福島第一原子力発電所事故	福島原発事故	Q134447	原子力発電所	原発	none					
2_1	福島原発事故の教訓と原発政策への反省	Q171178	福島第一原子力発電所事故	福島原発事故	Q7886977	原子力政策	原発政策	none					
2_1	福島原発事故の教訓と原発政策への反省	Q134447	原子力発電所	原発	Q7886977	原子力政策	原発政策	none					
2_10	原発の高コストとリスクに対する強い懸念	Q17232373	原子力発電	原発	Q131363127	cost	コスト	none					
2_10	原発の高コストとリスクに対する強い懸念	Q17232373	原子力発電	原発	Q104493	リスク	リスク	none					
2_10	原発の高コストとリスクに対する強い懸念	Q131363127	cost	コスト	Q104493	リスク	リスク	none					
2_11	再生可能エネルギー推進と脱原発の強い要望	Q12705	再生可能エネルギー	再生可能エネルギー	Q1189820	原子力撤廃	脱原発	none					
2_12	日本の温室効果ガス削減目標の引き上げと1.5℃目標の重要性	Q167336	温室効果ガス	温室効果ガス	Q59241925	1.5℃目標	1.5℃目標	none					
2_14	再生可能エネルギーへの転換と持続可能なエネルギー政策の必要性	Q12705	再生可能エネルギー	再生可能エネルギー	Q1805337	エネルギー政策	エネルギー政策	direct	P527	has part	b_to_a		
2_15	原発廃止と持続可能なエネルギーへの転換	Q134447	原子力発電所	原発	Q1962383	持続可能エネルギー	持続可能なエネルギー	none					
2_16	若者と市民の意見を反映した民主的な政策決定プロセスの確立	Q119386673	若者	若者	Q1941338	市民	市民	none					
2_16	若者と市民の意見を反映した民主的な政策決定プロセスの確立	Q119386673	若者	若者	Q1773152	住民参画	民主的な政策決定プロセス	none					
2_16	若者と市民の意見を反映した民主的な政策決定プロセスの確立	Q1941338	市民	市民	Q1773152	住民参画	民主的な政策決定プロセス	none					
2_17	化石燃料依存からの脱却と再生可能エネルギーの推進	Q12748	化石燃料	化石燃料	Q12705	再生可能エネルギー	再生可能エネルギー	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q1522115	エネルギー資源
2_18	持続可能な未来のための政策と教育の重要性	Q1156854	政策	政策	Q948732	環境教育	教育	none					
2_2	次期選挙における政治的信頼と国民の声の重要性	Q17946	世論	国民の声	Q40231	選挙	選挙	none					
2_20	再生可能エネルギーの推進と原発依存の低減	Q12705	再生可能エネルギー	再生可能エネルギー	Q17232373	原子力発電	原子力発電	none					
2_22	太陽光発電の限界と環境影響に関する懸念	Q192127	太陽光発電	太陽光発電	Q2491694	environmental impact	環境影響	none					
2_23	原発の安全性と軍事的リスクに関する懸念	Q134447	原子力発電所	原発	Q1888109	原子力安全	安全性	none					
2_23	原発の安全性と軍事的リスクに関する懸念	Q134447	原子力発電所	原発	Q6857873	military threat	軍事的リスク	none					
2_23	原発の安全性と軍事的リスクに関する懸念	Q1888109	原子力安全	安全性	Q6857873	military threat	軍事的リスク	none					
2_24	原発コストの不透明性と将来負担の懸念	Q17232373	原子力発電	原発	Q131363127	cost	コスト	none					
2_25	再生可能エネルギー推進と持続可能なエネルギー政策の強化	Q12705	再生可能エネルギー	再生可能エネルギー	Q1805337	エネルギー政策	エネルギー政策	direct	P527	has part	b_to_a		
2_26	水素社会推進法の実行と早急な移行の必要性	Q478859	水素エネルギー社会	水素社会	Q556	水素	水素	none					
2_27	原発事故に対する責任と避難計画の不備に関する懸念	Q1620824	原子力事故	原発事故	Q1274115	責任	責任	none					
2_28	原発政策に対する反対と国民の生命・健康の優先	Q17232373	原子力発電	原発	Q12147	健康	健康	none					
